financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,BALLARAT CITY COUNCIL,"113,504",47990,49103,Weekly,22802.0,39200.0,Fortnightly,No,12815.75,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42.0,0.7,1.2,0.8,48.0,1.0,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7.0,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2018-2019,BANYULE CITY COUNCIL,"127,370",48463,48463,Weekly,20742.0,48463.0,Fortnightly,No,9064.0,"2,036.6",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3.0
2019-2020,BANYULE CITY COUNCIL,"127,370",49900,49900,Weekly,21257.0,49900.0,Fortnightly,No,11754.0,"2,036.6",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3.0
2020-2021,BANYULE CITY COUNCIL,"127,370",50200,50200,Weekly,22292.0,50200.0,Fortnightly,No,12185.0,"2,036.6",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3.0
2021-2022,BANYULE CITY COUNCIL,"127,370",53701,49623,Weekly,20875.0,50200.0,Weekly,Yes,11285.0,"2,036.6",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3.0
2022-2023,BANYULE CITY COUNCIL,"127,370",53134,53478,Fortnightly,16254.0,53478.0,Weekly,Yes,16869.0,"2,036.6",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3.0
2018-2019,BASS COAST SHIRE COUNCIL,"40,675",28062,26816,Fortnightly,4437.0,26816.0,Weekly,Yes,9383.0,47.0,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2019-2020,BASS COAST SHIRE COUNCIL,"40,675",28340,27284,Fortnightly,4745.0,27284.0,Weekly,Yes,11105.0,47.0,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2020-2021,BASS COAST SHIRE COUNCIL,"40,675",26308,28010,Fortnightly,5310.3,28010.0,Weekly,Yes,11899.0,47.0,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2021-2022,BASS COAST SHIRE COUNCIL,"40,675",29729,27232,Fortnightly,5859.74,27232.0,Weekly,Yes,11997.0,47.0,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2022-2023,BASS COAST SHIRE COUNCIL,"40,675",27707,27775,Fortnightly,5890.84,27775.0,Weekly,Yes,12234.76,47.0,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2018-2019,BAW BAW SHIRE COUNCIL,"57,618",20534,20269,Weekly,9532.82,20182.0,Fortnightly,No,5726.64,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2019-2020,BAW BAW SHIRE COUNCIL,"57,618",21290,21056,Weekly,9948.26,20967.0,Fortnightly,No,7130.73,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2020-2021,BAW BAW SHIRE COUNCIL,"57,618",24375,21883,Weekly,10840.76,21883.0,Fortnightly,No,7205.83,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2021-2022,BAW BAW SHIRE COUNCIL,"57,618",22609,22951,Weekly,11247.0,21883.0,Fortnightly,No,7258.32,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2022-2023,BAW BAW SHIRE COUNCIL,"57,618",23592,25259,Weekly,11268.99,23476.0,Fortnightly,No,7590.51,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2018-2019,BAYSIDE CITY COUNCIL,"102,328",38715,38715,Weekly,20131.4,29000.0,Fortnightly,,9766.0,"2,749.9",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2019-2020,BAYSIDE CITY COUNCIL,"102,328",38602,38602,Weekly,18555.36,31348.0,Fortnightly,Yes,13618.0,"2,749.9",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2020-2021,BAYSIDE CITY COUNCIL,"102,328",38800,38800,Weekly,17588.43,32000.0,Fortnightly,Yes,14105.0,"2,749.9",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2021-2022,BAYSIDE CITY COUNCIL,"102,328",40955,40955,Weekly,16808.46,38000.0,Fortnightly,Yes,14251.73,"2,749.9",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
