financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,CAMPASPE SHIRE COUNCIL,"38,556",12707,14757,Weekly,7327.93,9447.0,Fortnightly,Yes,3701.58,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2018-2019,CARDINIA SHIRE COUNCIL,"119,573",38872,38872,Weekly,19852.41,22738.0,Fortnightly,,7255.54,93.2,34.4,64.9,"53,106","59,493",82.0,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2019-2020,CARDINIA SHIRE COUNCIL,"119,573",44507,44647,Weekly,21939.6,24542.0,Fortnightly,,9383.0,93.2,34.4,64.9,"53,106","59,493",82.0,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2020-2021,CARDINIA SHIRE COUNCIL,"119,573",44090,42496,Weekly,22395.77,26852.0,Fortnightly,Yes,10194.92,93.2,34.4,64.9,"53,106","59,493",82.0,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2021-2022,CARDINIA SHIRE COUNCIL,"119,573",44736,40959,Weekly,22609.45,25479.0,Fortnightly,Yes,10137.3,93.2,34.4,64.9,"53,106","59,493",82.0,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2022-2023,CARDINIA SHIRE COUNCIL,"119,573",42931,43285,Weekly,22771.22,28458.0,Fortnightly,Yes,10501.69,93.2,34.4,64.9,"53,106","59,493",82.0,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2018-2019,CASEY CITY COUNCIL,"369,558",112622,110356,Weekly,61906.0,102883.0,Fortnightly,No,32039.0,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2019-2020,CASEY CITY COUNCIL,"369,558",118480,118566,Weekly,65759.0,109223.0,Fortnightly,No,39162.0,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2020-2021,CASEY CITY COUNCIL,"369,558",121061,121061,Weekly,67054.0,108805.0,Fortnightly,Yes,40342.3,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2021-2022,CASEY CITY COUNCIL,"369,558",129472,125069,Weekly,68443.4,113605.0,Fortnightly,Yes,39542.92,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2022-2023,CASEY CITY COUNCIL,"369,558",125807,126671,Weekly,67422.34,113497.0,Fortnightly,Yes,38614.87,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2018-2019,CENTRAL GOLDFIELDS SHIRE COUNCIL,"13,388",7254,6106,Weekly,2289.0,1300.0,Fortnightly,Yes,378.74,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2019-2020,CENTRAL GOLDFIELDS SHIRE COUNCIL,"13,388",7323,6136,Weekly,2086.0,1433.0,Fortnightly,Yes,520.87,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2020-2021,CENTRAL GOLDFIELDS SHIRE COUNCIL,"13,388",7334,6176,Weekly,2228.81,1636.0,Fortnightly,Yes,656.84,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2021-2022,CENTRAL GOLDFIELDS SHIRE COUNCIL,"13,388",6356,6242,Weekly,2414.18,1814.0,Other,Yes,585.06,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2022-2023,CENTRAL GOLDFIELDS SHIRE COUNCIL,"13,388",6593,6313,Weekly,2410.43,2038.0,twice monthly,Yes,719.0,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2018-2019,COLAC OTWAY SHIRE COUNCIL,"22,309",13608,9979,Weekly,5164.97,9979.0,Fortnightly,Yes,2557.51,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2019-2020,COLAC OTWAY SHIRE COUNCIL,"22,309",13608,10111,Weekly,5325.76,10111.0,Fortnightly,Yes,3119.08,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2020-2021,COLAC OTWAY SHIRE COUNCIL,"22,309",10265,10265,Weekly,4065.0,10265.0,Fortnightly,Yes,3327.0,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2021-2022,COLAC OTWAY SHIRE COUNCIL,"22,309",12444,10598,Weekly,4114.0,10598.0,Fortnightly,Yes,3091.0,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2022-2023,COLAC OTWAY SHIRE COUNCIL,"22,309",11237,10600,Weekly,3907.0,10600.0,Fortnightly,Yes,3160.0,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2018-2019,CORANGAMITE SHIRE COUNCIL,"16,030",4743,4743,Weekly,1785.0,4743.0,Fortnightly,Yes,1759.0,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2019-2020,CORANGAMITE SHIRE COUNCIL,"16,030",4788,4788,Weekly,1814.0,4788.0,Fortnightly,Yes,2044.0,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2020-2021,CORANGAMITE SHIRE COUNCIL,"16,030",4801,4801,Weekly,1929.0,4801.0,Fortnightly,Yes,2180.0,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2021-2022,CORANGAMITE SHIRE COUNCIL,"16,030",6494,4889,Weekly,1872.0,4889.0,Fortnightly,Yes,2085.0,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2022-2023,CORANGAMITE SHIRE COUNCIL,"16,030",5972,5563,Weekly,1955.0,5563.0,Weekly,Yes,2074.0,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2018-2019,DAREBIN CITY COUNCIL,"150,296",66010,66010,Weekly,25826.0,39438.0,Fortnightly,,11468.0,"2,810.8",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2019-2020,DAREBIN CITY COUNCIL,"150,296",67051,61464,Weekly,25957.12,35856.0,Fortnightly,Yes,13196.0,"2,810.8",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2020-2021,DAREBIN CITY COUNCIL,"150,296",68461,63645,Weekly,19275.61,38974.0,Fortnightly,Yes,18684.88,"2,810.8",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2021-2022,DAREBIN CITY COUNCIL,"150,296",68461,61747,Weekly,25360.42,63325.0,Fortnightly,Yes,13534.0,"2,810.8",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2022-2023,DAREBIN CITY COUNCIL,"150,296",67875,63495,Weekly,24220.0,63553.0,Fortnightly,Yes,14557.8,"2,810.8",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2018-2019,EAST GIPPSLAND SHIRE COUNCIL,"48,477",26000,19965,Weekly,6776.0,15392.0,Fortnightly,No,4000.0,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2019-2020,EAST GIPPSLAND SHIRE COUNCIL,"48,477",27180,20037,Weekly,7816.14,16820.0,Fortnightly,No,4486.8,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2020-2021,EAST GIPPSLAND SHIRE COUNCIL,"48,477",27373,20592,Weekly,8658.5,17404.0,Fortnightly,No,4997.2,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2021-2022,EAST GIPPSLAND SHIRE COUNCIL,"48,477",27993,21380,Weekly,9294.0,16875.0,Fortnightly,No,5651.21,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2022-2023,EAST GIPPSLAND SHIRE COUNCIL,"48,477",24065,21874,Weekly,8164.97,17282.0,Fortnightly,No,4717.72,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2018-2019,FRANKSTON CITY COUNCIL,"140,824",60163,55853,Weekly,24796.0,39789.0,Fortnightly,,13550.0,"1,086.6",39.0,65.0,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3.0
2019-2020,FRANKSTON CITY COUNCIL,"140,824",60684,56240,Weekly,24833.0,41027.0,Fortnightly,Yes,16298.0,"1,086.6",39.0,65.0,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3.0
2020-2021,FRANKSTON CITY COUNCIL,"140,824",61267,56635,Weekly,25805.0,42139.0,Fortnightly,Yes,17615.0,"1,086.6",39.0,65.0,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3.0
2021-2022,FRANKSTON CITY COUNCIL,"140,824",61250,56880,Weekly,25777.0,43191.0,Fortnightly,Yes,17792.0,"1,086.6",39.0,65.0,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3.0
2022-2023,FRANKSTON CITY COUNCIL,"140,824",56782,57130,Weekly,24545.0,45090.0,Fortnightly,Yes,17405.0,"1,086.6",39.0,65.0,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3.0
2018-2019,GANNAWARRA SHIRE COUNCIL,"10,615",6736,5174,Weekly,2142.0,992.0,Fortnightly,No,451.0,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2019-2020,GANNAWARRA SHIRE COUNCIL,"10,615",6864,5216,Weekly,2321.0,992.0,Fortnightly,No,497.0,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2020-2021,GANNAWARRA SHIRE COUNCIL,"10,615",4766,5253,Weekly,2537.0,1174.0,Fortnightly,,565.0,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2021-2022,GANNAWARRA SHIRE COUNCIL,"10,615",4783,4193,Weekly,2374.0,1174.0,Fortnightly,No,614.0,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2022-2023,GANNAWARRA SHIRE COUNCIL,"10,615",3867,4229,Weekly,2176.03,1440.0,Fortnightly,No,495.0,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2018-2019,GLEN EIRA CITY COUNCIL,"150,638",63315,58082,Weekly,27933.0,45000.0,Fortnightly,Yes,11373.0,"3,893.4",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3.0
2019-2020,GLEN EIRA CITY COUNCIL,"150,638",64910,57582,Weekly,28000.0,45000.0,Fortnightly,Yes,14000.0,"3,893.4",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3.0
2020-2021,GLEN EIRA CITY COUNCIL,"150,638",65916,56962,Weekly,28555.24,45800.0,Fortnightly,Yes,14862.96,"3,893.4",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3.0
2021-2022,GLEN EIRA CITY COUNCIL,"150,638",66563,66091,Fortnightly,20895.0,47290.0,Weekly,Yes,20817.0,"3,893.4",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3.0
2022-2023,GLEN EIRA CITY COUNCIL,"150,638",66802,57827,Fortnightly,20619.72,47740.0,Weekly,Yes,19758.12,"3,893.4",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3.0
2018-2019,GLENELG SHIRE COUNCIL,"20,058",9950,7590,Weekly,3473.08,,,,,3.2,48.9,59.0,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2019-2020,GLENELG SHIRE COUNCIL,"20,058",9950,7745,Weekly,3420.0,,,,,3.2,48.9,59.0,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2020-2021,GLENELG SHIRE COUNCIL,"20,058",9950,7821,Weekly,3482.81,,,,,3.2,48.9,59.0,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2021-2022,GLENELG SHIRE COUNCIL,"20,058",10145,7731,Weekly,3646.0,,,,,3.2,48.9,59.0,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2022-2023,GLENELG SHIRE COUNCIL,"20,058",8721,8161,Weekly,3903.0,,,,,3.2,48.9,59.0,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2018-2019,GOLDEN PLAINS SHIRE COUNCIL,"24,892",8327,8327,Fortnightly,4416.0,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2019-2020,GOLDEN PLAINS SHIRE COUNCIL,"24,892",8548,8548,Fortnightly,5527.0,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2020-2021,GOLDEN PLAINS SHIRE COUNCIL,"24,892",8812,8812,Fortnightly,4882.0,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2021-2022,GOLDEN PLAINS SHIRE COUNCIL,"24,892",8515,9070,Fortnightly,5005.0,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2022-2023,GOLDEN PLAINS SHIRE COUNCIL,"24,892",8723,9101,Fortnightly,5026.0,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2018-2019,GREATER BENDIGO CITY COUNCIL,"121,272",49821,49553,Weekly,22422.0,40001.0,Fortnightly,Yes,10348.0,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2019-2020,GREATER BENDIGO CITY COUNCIL,"121,272",49596,49596,Weekly,24810.8,40091.0,Fortnightly,Yes,13248.0,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2020-2021,GREATER BENDIGO CITY COUNCIL,"121,272",51531,51051,Weekly,24102.0,43399.0,Fortnightly,Yes,14800.0,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2021-2022,GREATER BENDIGO CITY COUNCIL,"121,272",52606,52459,Weekly,26040.23,44756.0,Fortnightly,Yes,13398.96,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2022-2023,GREATER BENDIGO CITY COUNCIL,"121,272",52196,52532,Weekly,25935.0,44307.0,Fortnightly,Yes,15010.44,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2018-2019,GREATER DANDENONG CITY COUNCIL,"160,100",55368,54423,Weekly,29222.24,46029.0,Fortnightly,,12346.46,"1,235.8",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2019-2020,GREATER DANDENONG CITY COUNCIL,"160,100",57122,57122,Weekly,30313.36,45879.0,Fortnightly,,15161.17,"1,235.8",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2020-2021,GREATER DANDENONG CITY COUNCIL,"160,100",68395,55531,Weekly,31342.32,46357.0,Fortnightly,Yes,15445.0,"1,235.8",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2021-2022,GREATER DANDENONG CITY COUNCIL,"160,100",47246,55439,Weekly,30166.0,46357.0,Fortnightly,Yes,15112.0,"1,235.8",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
