financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2021-2022,Banyule City Council,Metropolitan Suburb,40.3,2.5,"127,370",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","61,256","73,550",75.8,"5,717.30",53701,49623,Weekly,20875.0,50200.0,Weekly,Yes,11285.0
2022-2023,Banyule City Council,Metropolitan Suburb,40.3,2.5,"127,370",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,24.4,21.8,"-2,255","61,256","73,550",75.8,"5,717.30",53134,53478,Fortnightly,16254.0,53478.0,Weekly,Yes,16869.0
2018-2019,Bass Coast Shire Council,Rural Area,51.2,2.2,"40,675",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","42,814","51,046",66.5,"1,026.60",28062,26816,Fortnightly,4437.0,26816.0,Weekly,Yes,9383.0
2019-2020,Bass Coast Shire Council,Rural Area,51.2,2.2,"40,675",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","42,814","51,046",66.5,"1,026.60",28340,27284,Fortnightly,4745.0,27284.0,Weekly,Yes,11105.0
2020-2021,Bass Coast Shire Council,Rural Area,51.2,2.2,"40,675",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","42,814","51,046",66.5,"1,026.60",26308,28010,Fortnightly,5310.3,28010.0,Weekly,Yes,11899.0
2021-2022,Bass Coast Shire Council,Rural Area,51.2,2.2,"40,675",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","42,814","51,046",66.5,"1,026.60",29729,27232,Fortnightly,5859.74,27232.0,Weekly,Yes,11997.0
2022-2023,Bass Coast Shire Council,Rural Area,51.2,2.2,"40,675",39.2,0.2,0.4,1.0,50.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","42,814","51,046",66.5,"1,026.60",27707,27775,Fortnightly,5890.84,27775.0,Weekly,Yes,12234.76
2018-2019,Baw Baw Shire Council,Rural Area,41.3,2.5,"57,618",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","50,344","58,316",74.5,"1,809.50",20534,20269,Weekly,9532.82,20182.0,Fortnightly,No,5726.64
2019-2020,Baw Baw Shire Council,Rural Area,41.3,2.5,"57,618",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","50,344","58,316",74.5,"1,809.50",21290,21056,Weekly,9948.26,20967.0,Fortnightly,No,7130.73
2020-2021,Baw Baw Shire Council,Rural Area,41.3,2.5,"57,618",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","50,344","58,316",74.5,"1,809.50",24375,21883,Weekly,10840.76,21883.0,Fortnightly,No,7205.83
2021-2022,Baw Baw Shire Council,Rural Area,41.3,2.5,"57,618",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","50,344","58,316",74.5,"1,809.50",22609,22951,Weekly,11247.0,21883.0,Fortnightly,No,7258.32
2022-2023,Baw Baw Shire Council,Rural Area,41.3,2.5,"57,618",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,12.0,4.9,"1,529","50,344","58,316",74.5,"1,809.50",23592,25259,Weekly,11268.99,23476.0,Fortnightly,No,7590.51
2018-2019,Bayside City Council,Metropolitan Suburb,45.4,2.5,"102,328",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"54,170","64,022",81.3,"6,799.30",38715,38715,Weekly,20131.4,29000.0,Fortnightly,,9766.0
2019-2020,Bayside City Council,Metropolitan Suburb,45.4,2.5,"102,328",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"54,170","64,022",81.3,"6,799.30",38602,38602,Weekly,18555.36,31348.0,Fortnightly,Yes,13618.0
2020-2021,Bayside City Council,Metropolitan Suburb,45.4,2.5,"102,328",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"54,170","64,022",81.3,"6,799.30",38800,38800,Weekly,17588.43,32000.0,Fortnightly,Yes,14105.0
2021-2022,Bayside City Council,Metropolitan Suburb,45.4,2.5,"102,328",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"54,170","64,022",81.3,"6,799.30",40955,40955,Weekly,16808.46,38000.0,Fortnightly,Yes,14251.73
