financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2018-2019,YARRA RANGES SHIRE COUNCIL,158173,59910,59910,Weekly,29308,32729,Fortnightly,,11544,63.8,40.1,63.9,"53,719","61,830",77.7,"5,823.90",37.8,0.3,0.5,1,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8,"-1,656","55,842",2.7,"11,893","1,147","42,808","43,981",3
2019-2020,YARRA RANGES SHIRE COUNCIL,159462,60426,60426,Weekly,29775,35037,Fortnightly,,14409,63.8,40.1,63.9,"53,719","61,830",77.7,"5,823.90",37.8,0.3,0.5,1,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8,"-1,656","55,842",2.7,"11,893","1,147","42,808","43,981",3
2020-2021,YARRA RANGES SHIRE COUNCIL,159955,60851,60851,Weekly,31619,37325,Fortnightly,,15401,63.8,40.1,63.9,"53,719","61,830",77.7,"5,823.90",37.8,0.3,0.5,1,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8,"-1,656","55,842",2.7,"11,893","1,147","42,808","43,981",3
2021-2022,YARRA RANGES SHIRE COUNCIL,157419,61713,59581,Weekly,31230,36607,Fortnightly,No,14940,63.8,40.1,63.9,"53,719","61,830",77.7,"5,823.90",37.8,0.3,0.5,1,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8,"-1,656","55,842",2.7,"11,893","1,147","42,808","43,981",3
2022-2023,YARRA RANGES SHIRE COUNCIL,159887,54059,61601,Weekly,30248.58,37697,Fortnightly,No,16004,63.8,40.1,63.9,"53,719","61,830",77.7,"5,823.90",37.8,0.3,0.5,1,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8,"-1,656","55,842",2.7,"11,893","1,147","42,808","43,981",3
2018-2019,YARRIAMBIACK SHIRE COUNCIL,7250,3061,3061,Weekly,1782,,,,,0.9,51.9,55.7,"43,791","47,241",60.7,236.3,52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"2,740",2.1,996,52,"1,688","1,715",2.8
2019-2020,YARRIAMBIACK SHIRE COUNCIL,6627,2800,3186,Weekly,2190,,,,,0.9,51.9,55.7,"43,791","47,241",60.7,236.3,52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"2,740",2.1,996,52,"1,688","1,715",2.8
2020-2021,YARRIAMBIACK SHIRE COUNCIL,6674,3559,3216,Weekly,2093,,,,,0.9,51.9,55.7,"43,791","47,241",60.7,236.3,52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"2,740",2.1,996,52,"1,688","1,715",2.8
2021-2022,YARRIAMBIACK SHIRE COUNCIL,6556,2762,2762,Weekly,2006,,,,,0.9,51.9,55.7,"43,791","47,241",60.7,236.3,52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"2,740",2.1,996,52,"1,688","1,715",2.8
2022-2023,YARRIAMBIACK SHIRE COUNCIL,6342,3002,2711,Weekly,1826.59,,,,,0.9,51.9,55.7,"43,791","47,241",60.7,236.3,52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"2,740",2.1,996,52,"1,688","1,715",2.8
