financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,SURF COAST SHIRE COUNCIL,39895,18551,20492,Fortnightly,4557,20492,Weekly,Yes,8350,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3
2018-2019,SWAN HILL RURAL CITY COUNCIL,20759,8497,8497,Weekly,3931.72,1042,Fortnightly,,336.86,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2019-2020,SWAN HILL RURAL CITY COUNCIL,20649,8758,8544,Weekly,5202,1134,Fortnightly,,362,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2020-2021,SWAN HILL RURAL CITY COUNCIL,20682,8596,8596,Weekly,4715,1296,Fortnightly,,436,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2021-2022,SWAN HILL RURAL CITY COUNCIL,21403,8062,8524,Weekly,4949,1474,Fortnightly,No,547,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2022-2023,SWAN HILL RURAL CITY COUNCIL,21185,7206,8739,Weekly,5392.89,1584,Fortnightly,No,614,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2018-2019,TOWONG SHIRE COUNCIL,5985,4107,3044,Weekly,1900,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2019-2020,TOWONG SHIRE COUNCIL,5895,2960,2963,Weekly,1900,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2020-2021,TOWONG SHIRE COUNCIL,6102,2740,2740,Weekly,1900,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2021-2022,TOWONG SHIRE COUNCIL,6223,1675,2890,Weekly,1212.81,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2022-2023,TOWONG SHIRE COUNCIL,6286,1713,3041,Weekly,1198,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2018-2019,WANGARATTA RURAL CITY COUNCIL,28310,14237,14749,Fortnightly,4718.28,8805,Weekly,Yes,3738.46,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42,0.8,3.3,1.4,0.1,1.3,0.3,1,0.4,0.4,9,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
